,scores,common_scores,info,link
"Молоко Globus, 3,2% пастеризованное","[66, 75, 67, 93]",[75],"Молоко Globus соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим  показателям.Содержание белка больше на 11%отн., чем указано в маркировке. Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец соответствует ГОСТ 31450-2013 по органолептическим и физико-химическим показателям.Молоко имеет хорошие органолептические свойства. Не содержит растительного жира. Не содержит сухого молока. Высокое содержание кальция по сравнению со средними значениями для данного вида продукции.",https://roscontrol.com//product/globus-32-pasterizovannoe/
"Молоко ""Вологжанка"", 3,2% пастеризованное","[86, 75, 66, 59]",[72],"Молоко ""Вологжанка"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец изготовлен по СТО, которые экспертам не известны, но по органолептическим и физико-химическим показателям образец соответствует ГОСТ 31450-2013 на аналогичный вид продукции.Имеет недостатки по органолептическим показателям: легкий кормовой привкус и запах.Не содержит растительного жира. Не содержит сухого молока.",https://roscontrol.com//product/vologganka-32-pasterizovannoe-1/
"Молоко ""Село Зеленое"" 3,2% пастеризованное","[88, 70, 67, 82]",[77],"Молоко ""Село зеленое"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец соответствует ГОСТ 31450-2013 по органолептическим и физико-химическим показателям.Высокая стоимость за 1 литр по сравнению со средними значениями для данного вида продукции.Молоко имеет хорошие органолептические свойства. Не содержит растительного жира. Не содержит сухого молока.",https://roscontrol.com//product/moloko-selo-zelenoe-3-2-pasterizovannoe/
"Молоко ""Красная цена"", 3,2%, ультрапастеризованное","[83, 60, 66, 76]",[71],"Молоко ""Красная цена"" по проверенным микробиологическим и физико-химическим показателям соответствует требованиям безопасности. Консерванты и антибиотики не обнаружены.Содержание жира на 0,2% меньше, чем заявлено в маркировке. Заниженное содержание фосфатов. Других фактов недостоверной маркировки не выявлено.Образец не соответствует ГОСТ 31450-2013 по физико-химическим показателям: имеет пониженную массовую долю жира (на 6%).Вероятно использование в составе молока добавленных в качестве стабилизатора фосфатов, не указанных в составе.Молоко не содержит растительного жира. Не содержит сухого молока. Имеет хорошие органолептические свойства.",https://roscontrol.com//product/krasnaya-tsena-32-ultrapasterizovannoe/
"Молоко ""Простоквашино"" 3,2% ультрапастеризованное","[88, 65, 66, 73]",[73],"Молоко ""Простоквашино"" по проверенным микробиологическим и физико-химическим показателям соответствует требованиям безопасности. Консерванты и антибиотики не обнаружены.Содержание жира на 0,1% меньше, чем заявлено в маркировке. Заниженное содержание фосфатов. Других фактов недостоверной маркировки не выявлено.Образец произведен по ТУ, которые экспертам не известны, но по органолептическим и физико-химическим показателям образец соответствует стандарту на аналогичный вид продукции ГОСТ 31450-2013.Вероятно использование в составе молока добавленных в качестве стабилизатора фосфатов, не указанных в составе.Молоко не содержит растительного жира. Не содержит сухого молока. Имеет хорошие органолептические свойства.Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/moloko-prostokvashino-3-2/
"Молоко ""Село Зеленое"" 3,2% ультрапастеризованное","[91, 65, 66, 84]",[77],"Молоко ""Село зеленое"" по проверенным микробиологическим и физико-химическим показателям соответствует требованиям безопасности. Консерванты и антибиотики не обнаружены.Содержание жира на 0,1% меньше, чем заявлено в маркировке. Заниженное содержание фосфатов. Других фактов недостоверной маркировки не выявлено.Образец соответствует ГОСТ 31450-2013 по органолептическим и физико-химическим показателям.Вероятно использование в составе молока добавленных в качестве стабилизатора фосфатов, не указанных в составе. Молоко не содержит растительного жира. Не содержит сухого молока. Имеет хорошие органолептические свойства.Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/selo-zelenoe-32-ultrapasterizovannoe/
"Молоко ""Простоквашино"" отборное, от 3,4% до 4,5% пастеризованное","[92, 80, 63, 91]",[82],"По проверенным физико-химическим и микробиологическим показателям образец соответствует требованиям безопасности. Консерванты и антибиотики не обнаружены.Фактов недостоверной маркировки не выявлено за исключением недостоверной маркировки о содержании жира — его больше на 9%, чем заявлено.Образец произведен по ТУ, которые экспертам не известны, но по органолептическим и физико-химическим показателям образец соответствует стандарту на аналогичный вид продукции ГОСТ 31450-2013.Продукт Обладает хорошими органолептическими показателями. Консерванты и антибиотики не выявлены. Не содержит растительный жир. Не содержит сухого молока. ",https://roscontrol.com//product/prostokvashino-otbornoe-ot-34-do-45-pasterizovannoe/
"Молоко ""Останкинское"" 3,2% ультрапастеризованное","[97, 75, 66, 32]",[68],"Молоко ультрапастеризованное ""Останкинское"" соответствует требованиям безопасности по исследованным микробиологическим и физико-химическим показателям.По наименованию, составу и показателям пищевой ценности образец соответствует маркировке.Образец изготовлен по ГОСТ 31450. Определены не предусмотренные стандартом на данный вид продукции запах и привкус кипячения, очень слабый кормовой привкус. Массовая концентрация лактулозы сравнительно невысокая.",https://roscontrol.com//product/ostankinskoe-32-ultrapasterizovannoe/
"Молоко ""Сарафаново"" 3,2% ультрапастеризованное","[97, 70, 67, 49]",[71],"Молоко ультрапастеризованное ""Сарафаново"" соответствует требованиям безопасности по исследованным микробиологическим и физико-химическим показателям.По наименованию, составу и показателям пищевой ценности образец соответствует маркировке.Образец изготовлен по ТУ РБ. По всем проверенным образцам соответствует ГОСТ 31450. У образца сравнительно высокая массовая доля белка — 3,06%.Определены не предусмотренные стандартом на данный вид продукции запах и привкус кипячения. Массовая концентрация лактулозы сравнительно высокая.Молоко не содержит растительных жиров. Жирнокислотный состав жировой фазы соответствует молочному жиру.",https://roscontrol.com//product/sarafanovo-32-ultrapasterizovannoe/
"Молоко ""Валио"" 3,2% ультрапастеризованное","[97, 80, 65, 49]",[73],"Молоко ультрапастеризованное ""Валио"" соответствует требованиям безопасности по исследованным микробиологическим и физико-химическим показателям.По наименованию и составу образец соответствует маркировке. Выявлено незначительное отрицательное отклонение (6%) от указанной в маркировке массовой доли белка.Образец изготовлен по ТУ. Массовая доля белка ниже установленнго ГОСТ 31450 уровня. Массовая концентрация лактулозы сравнительно высокаяМолоко обладает хорошими органолептическими свойствами. Не содержит растительных жиров. Жирнокислотный состав жировой фазы соответствует молочному жиру. ",https://roscontrol.com//product/valio-32-ultrapasterizovannoe/
"Молоко ""Авида"" 3,2% ультрапастеризованное","[97, 75, 66, 15]",[63],"Молоко ультрапастеризованное ""Авида"" соответствует требованиям безопасности по исследованным микробиологическим и физико-химическим показателям.По наименованию, составу и показателям пищевой ценности образец соответствует маркировке.Образец изготовлен по ГОСТ 31450. Выявлен очень слабый кормовой привкус. Массовая концентрация лактулозы сравнительно высокая. Содержание кальция сравнительно невысокое.Молоко не содержит растительных жиров. Жирнокислотный состав жировой фазы соответствует молочному жиру.",https://roscontrol.com//product/avida-32-ultrapasterizovannoe/
"Молоко ""Вкуснотеево"" 3,2% пастеризованное","[97, 75, 67, 82]",[80],"По проверенным физико-химическим и микробиологическим показателям молоко ""Вкуснотеево"" соответствует требованиям безопасности. Консерванты и антибиотики не обнаружены. Растительные жиры не обнаружены.Фактов недостоверной маркировки не выявлено.По органолептическим и физико-химическим показателям образец соответствует ГОСТ 31450-2013.Молоко имеет хорошие органолептические показатели. Относительно высокое значение показателя СОМО.В 2013 году Росконтролем было проверено молоко ""Вкуснотеево"" пастеризованное 3,2% — товар без замечаний.",https://roscontrol.com//product/vkusnotieievo-3-2-pastierizovannoie/
"Молоко ""Асеньевская ферма"" 3,2% пастеризованное","[94, 75, 67, 56]",[73],"По проверенным физико-химическим и микробиологическим показателям молоко ""Асеньевская ферма"" соответствует требованиям безопасности. Консерванты и антибиотики не обнаружены. Растительных жиров не обнаружено.Фактов недостоверной маркировки не выявлено.По физико-химическим показателям образец соответствует ГОСТ 31450-2013. Молоко имеет удовлетворительные органолептические показатели с замечанием: пустой вкус. Низкое значение показателя общей микробной обсемененности (КМАФАнМ).",https://roscontrol.com//product/asenevskaya-ferma-32-pasterizovannoe/
"Молоко ""Рузское"" 3,2-4% пастеризованное","[97, 90, 74]",[65],"""Рузское молоко"" соответствует всем требованиям безопасности по 88-ФЗ «Технический регламент на молоко и молочную продукцию» (с изменениями на 22 июля 2010 года; редакция, действующая с 27 июля 2011 года). Бактерии группы кишечной палочки, патогенные микроорганизмы (сальмонеллы), стафилококки (S. аureus), листерии (L. Monocytogenes) в образце не обнаружены. Консервантов в нем тоже нет.Дегустационная комиссия оценила вкусовые качества этого молока. Вкус характерный для молока с легким привкусом кипячения, без посторонних запахов и привкусов. Показатели плотности, жирности и кислотности этого продукта в рамках допустимых значений.Срок годности ""Рузского молока"" превышает рекомендуемый для пастеризованного молока (5 суток при норме 3 суток). Однако производитель вправе устанавливать сроки хранения больше рекомендуемых, если он может гарантировать безопасность продукта на протяжении всего срока годности.",https://roscontrol.com//product/ruzskoe-32-4-pasterizovannoe-tselnoe/
"Молоко ""Домик в деревне"" 3,5% пастеризованное","[90, 80, 73]",[61],"Молоко ""Домик в деревне"" соответствует всем требованиям безопасности по 88-ФЗ «Технический регламент на молоко и молочную продукцию» (с изменениями на 22 июля 2010 года; редакция, действующая с 27 июля 2011 года). Бактерии группы кишечной палочки, патогенные микроорганизмы (сальмонеллы), стафилококки (S. аureus), листерии (L. Monocytogenes) в образце не обнаружены. Консервантов в нем тоже нет, как и растительных жиров.Вкус характерный для молока с легким привкусом кипячения, без посторонних запахов и привкусов.Показатели плотности, жирности и кислотности этого продукта соответствуют допустимым значениям.Срок годности молока ""Домик в деревне"" превышает рекомендуемый для пастеризованного молока в 5 раз (15 суток при рекомендуемом 3 суток). Однако производитель вправе устанавливать сроки хранения больше рекомендуемых, если он может гарантировать безопасность продукта на протяжении всего срока годности.",https://roscontrol.com//product/domik-v-derevne-35-tselnoe-pasterizovannoe/
"Молоко ""Мамуля"" 3,2% ультрапастеризованное","[100, 70, 75]",[61],"Молоко ""Мамуля"" соответствует всем требованиям безопасности по 88-ФЗ «Технический регламент на молоко и молочную продукцию» (с изменениями на 22 июля 2010 года; редакция, действующая с 27 июля 2011 года). Бактерии группы кишечной палочки, патогенные микроорганизмы (сальмонеллы), стафилококки (S. аureus), листерии (L. Monocytogenes) в образце не обнаружены. Консервантов в нем тоже нет.Ультрапастеризованное молоко «Мамуля» имеет срок годности 6 месяцев при температуре +2 — 25°С. Продукт не требует специальных условий хранения и может храниться при комнатной температуре. Показатели плотности, жирности и кислотности этого продукта в норме. В маркировке продукта содержится достоверная информация о его пищевой ценности.Вкус характерный для молока с легким привкусом кипячения, без посторонних запахов и привкусов.",https://roscontrol.com//product/mamulya-32-ultrapasterizovannoe/
"Молоко ""Вологжанка"" 1,5% пастеризованное","[82, 80, 74]",[59],"Молоко ""Вологжанка"" соответствует всем требованиям безопасности по 88-ФЗ «Технический регламент на молоко и молочную продукцию» (с изменениями на 22 июля 2010 года; редакция, действующая с 27 июля 2011 года). Бактерии группы кишечной палочки, патогенные микроорганизмы (сальмонеллы), стафилококки (S. аureus), листерии (L. Monocytogenes) в образце не обнаружены. Консервантов в нем тоже нет.Вкус характерный для молока с легким привкусом кипячения, без посторонних запахов и привкусов. Показатели плотности, жирности и кислотности этого продукта соответствуют допустимым значениям.Срок годности молока ""Вологжанка"" превышает рекомендуемый для пастеризованного молока (7 суток при рекомендуемом 3 суток). Производитель вправе устанавливать сроки хранения больше рекомендуемых, но в данном случае для их соблюдения нужно следить за поддержанием температурного режима. Рекомендованный производителем температурный режим не выше +4 °С, тогда как в бытовом холодильнике поддерживается температура +2...+6°С.",https://roscontrol.com//product/vologganka-15-pasterizovannoe/
"Молоко ""Простоквашино"" 3,5% пастеризованное","[63, 85, 74]",[56],"Молоко ""Простоквашино"" соответствует всем требованиям безопасности по 88-ФЗ «Технический регламент на молоко и молочную продукцию» (с изменениями на 22 июля 2010 года; редакция, действующая с 27 июля 2011 года). Бактерии группы кишечной палочки, патогенные микроорганизмы (сальмонеллы), стафилококки (S. аureus), листерии (L. Monocytogenes) в образце не обнаружены. Консервантов в нем тоже нет.Вкус характерный для молока с легким привкусом кипячения, без посторонних запахов и привкусов.Показатели плотности, жирности и кислотности этого продукта соответствуют допустимым значениям.Срок годности молока ""Простоквашино"" превышает рекомендуемый для пастеризованного молока в 4 раза (12 суток при рекомендуемом 3 суток). Однако производитель вправе устанавливать сроки хранения больше рекомендуемых, если он может гарантировать безопасность продукта на протяжении всего срока годности.",https://roscontrol.com//product/prostokvashino-35-tselnoe-pasterizovannoe/
"Молоко ""Дмитровский молочный завод"", 3,2%, ультрапастеризованное","[48, 60, 67, 77]",[63],"По показателям промышленной стерильности (показатель общей обсемененности мезофильной микрофлорой -11 КОЕ/г, допускается не более 10 КОЕ/г) образец не соответствует требованиям безопасности, однако отклонение от норматива невелико, и данное несоответствие может быть обусловлено нарушением условий хранения или транспортировки в торговой сети. Консерванты и антибиотики не обнаружены.Заниженное содержание фосфатов. Других фактов недостоверной маркировки не выявлено.Образец произведен по ТУ, которые экспертам не известны. По физико-химическим показателям образец соответствует стандарту на аналогичный вид продукции (ГОСТ 31450-2013). По органолептическим показателям образец имеет небольшое замечание: вкус и запах недостаточно выраженные.Вероятно использование в составе молока добавленных в качестве стабилизатора фосфатов, не указанных в составе.Молоко не содержит растительного жира. Не содержит сухого молока. ",https://roscontrol.com//product/dmitrovskiy-molochniy-zavod-32-ultrapasterizovannoe/
